"Division";"N° de match";"Equipe 1";"Equipe 2";"Date de rencontre";"Heure";"Salle";"Score 1";"Forfait 1";"Score 2";"Forfait 2";"Etat de la dérogation";
"RM2";"292";"BC VIRIAT - 1";"IE - CTC SOL - UNION SPORTIVE PIERRE BENITE - 2";"29/11/2015";"15:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"437";"BC VIRIAT - 1";"B CHARPENNES CROIX LUIZET - 1";"03/04/2016";"15:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"461";"BC VIRIAT - 1";"SEL GRAND TROU BASKET BALL - 1";"24/04/2016";"15:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"316";"BC VIRIAT - 1";"OUEST LYONNAIS BASKET - 2";"13/12/2015";"15:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"208";"BC VIRIAT - 1";"AMBERIEU BB - 1";"04/10/2015";"17:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"232";"BC VIRIAT - 1";"FEURS EF - 2";"18/10/2015";"17:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"352";"BC VIRIAT - 1";"ST JEAN BONNEFONDS AVANT GARDE BASKET - 1";"24/01/2016";"15:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"374";"BC VIRIAT - 1";"ANDREZIEUX BOUTHEON ALS BASKET - 2";"07/02/2016";"15:30";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"RM2";"414";"CHASSIEU BASKET - 1";"BC VIRIAT - 1";"12/03/2016";"20:30";"GYMNASE ROMAIN TISSERAND";"";"false";"";"false";
"RM2";"270";"IE - CTC ST JUST ST RAMBERT - ST JUST PONTOISE - 2";"BC VIRIAT - 1";"14/11/2015";"17:30";"SALLE DU JARDIN PUBLIC";"";"false";"";"false";
"RM2";"389";"AL VENISSIEUX PARILLY - 1";"BC VIRIAT - 1";"13/02/2016";"20:30";"GYMNASE JACQUES ANQUETIL";"";"false";"";"false";
"RM2";"424";"IE - CTC SOL - UNION SPORTIVE PIERRE BENITE - 2";"BC VIRIAT - 1";"20/03/2016";"15:30";"HALLE PAUL BERT";"";"false";"";"false";
"NFU15 ELITE";"120";"PAYS VOIRONNAIS BASKET CLUB";"IE - BC VIRIAT";"08/11/2015";"13:15";"GYMNASE HENRI CHAUTARD";"";"false";"";"false";
"NFU15 ELITE";"144";"ETOILE SPORTIVE EPAGNY METZ TESSY";"IE - BC VIRIAT";"15/11/2015";"13:15";"COMPLEXE SPORTIF SOUS LETRAZ";"";"false";"";"false";
"NFU15 ELITE";"214";"IE - CTC ALLIANCE BEAUMONT COURNON 63";"IE - BC VIRIAT";"06/12/2015";"13:15";"SALLE JOSEPH ET MICHEL GARDET";"";"false";"";"false";
"NFU15 ELITE";"47";"IE - ROANNAIS BASKET FEMININ";"IE - BC VIRIAT";"04/10/2015";"13:15";"GYMNASE DE MATEL";"";"false";"";"false";
"NFU15 ELITE";"240";"IE - BC VIRIAT";"PAYS VOIRONNAIS BASKET CLUB";"13/12/2015";"13:15";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"NFU15 ELITE";"167";"IE - BC VIRIAT";"IE - ROANNAIS BASKET FEMININ";"22/11/2015";"13:15";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
"NFU15 ELITE";"190";"IE - BC VIRIAT";"IE - ST GENIS OULLINS STE FOY FEMININ";"29/11/2015";"13:15";"GYMNASE DES CARRONNIERS";"";"false";"";"false";
